Emotion,Sentence,Sentence_cleaned
Other,"bếp dầu , nhiều nhà vẫn dùng",bếp dầu nhiều nhà vẫn dùng
Other,nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề,nếu thấy phụ nữ quá phức tạp để hiểu và chinh phục thì đây là cách giải quyết vấn đề
Fear,"thời buổi bây chừ chuyện gì cũng có thể xảy ra , vậy nên thôi trất , đừng nên tin ai",thời buổi bây chừ chuyện gì cũng có thể xảy ra vậy nên thôi trất đừng nên tin ai
Enjoyment,sau em này mà làm cô giáo ngồi kể chuyện hs lại há mồm ra nghe 😁,sau em này mà làm cô giáo ngồi kể chuyện học sinh lại há mồm ra nghe 😁
Anger,"con chó đăng video , mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à",con chó đăng video mày bị ngu à mà mỗi mẩu lại hiện chữ ăn cặc à
Disgust,coi video chưa hiểu gì đã làm ầm lên,coi video chưa hiểu gì đã làm ầm lên
Enjoyment,chả mong gì nhiều chỉ mong về già được như hai ông bà ! 😊😊😊,chả mong gì nhiều chỉ mong về già được như hai ông bà 😊
Enjoyment,yêu chết đi được .,yêu chết đi được
Sadness,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭😭😭.... người cha thật vĩ đại,mày định lướt qua rồi nhưng khi đọc bình luận của các bạn và xem kĩ lại thì mày đã rớt nước mắt 😭 người cha thật vĩ đại
Sadness,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết :)) khá mệt,xin đi chơi với bạn ngày tổng kết không cho cứ bắt học miết khá mệt
Anger,cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến . công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt,cá nhân mình nghĩ nó dừng hay đỗ đúng sai thì đã có ca pạt còn nó đỗ trước cửa nhà mình mà oto hay xe không ra vào được thì lúc đó mới ý kiến công nhận bọn oto đỗ trước nhà nhìn chỉ muốn đốt
Fear,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭😭😭,từ đầu năm giờ chắc chụp 10 lần rồi huhu sợ quá 😭
Fear,t gặp quả này thì bỏ xe mà chạy ??,tao gặp quả này thì bỏ xe mà chạy
Other,thế con trai là của ai cho,thế con trai là của ai cho
Surprise,per đây mí chính là cụ tổ của những chiếc sừng này,per đây mí chính là cụ tổ của những chiếc sừng này
Fear,muốn share về mà sợ bị bạn nè phẫn nộ quá,muốn share về mà sợ bị bạn nè phẫn nộ quá
Sadness,"hồi học lớp 5 bảo bố đi mua sgk cho , xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂",hồi học lớp 5 bảo bố đi mua sgk cho xong bố đi mua nguyên bộ lớp 4 đầy đủ từ sgk đến vở bài tập 😂
Sadness,nay buồn :(((,nay buồn
Fear,"cv không áp lực , môi trường xung quanh mới dễ tạo áp lực",cv không áp lực môi trường xung quanh mới dễ tạo áp lực
Enjoyment,ai có link nhạc mấy bài trên không ạ hay vãi ra,ai có link nhạc mấy bài trên không ạ hay vãi ra
Other,đây người ta gọi là . khi đại thánh nhập hoặc là múa lân đầu năm,đây người ta gọi là khi đại thánh nhập hoặc là múa lân đầu năm
Other,phải bồi thường thiệt hại bị trầy xước thân tàu . tiền sơn lại mấy toa tàu chắc cũng bộn .,phải bồi thường thiệt hại bị trầy xước thân tàu tiền sơn lại mấy toa tàu chắc cũng bộn
Sadness,làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải,làm công nhân đã bị vắt kiệt sức khỏe cho đến khi bị thải
Enjoyment,khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊,khi nào phường có chế độ phát chồng khi mang thân đến đăng kí kết hôn tự nguyện 😊
Anger,đéo được tích sự gì 😂,đéo được tích sự gì 😂
Sadness,haizzz ... thế là chưa có kq gì tốt đẹp cả ..,haiz thế là chưa có kết quả gì tốt đẹp cả
Sadness,bản thân cố gắng cũng chẳng dễ dàng gì :((,bản thân cố gắng cũng chẳng dễ dàng gì
Disgust,"nói chung là 1 lũ lừa gạt thôi , việt nam mình là vậy đó",nói chung là 1 lũ lừa gạt thôi việt nam mình là vậy đó
Other,thế em ăn cơm chưa ?,thế em ăn cơm chưa
Other,"thu trăm tỷ phạt 5tr , lại qua tỉnh khác hành nghề ha ha",thu trăm tỷ phạt 5tr lại qua tỉnh khác hành nghề ha ha
Disgust,chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ,chủ yếu là bọn trẻ đú với bọn dân trí thấp mà thích thể hiện bác nhỉ
Anger,mày coi chừng có ngày tao dã dô mặt mày như dzầy,mày coi chừng có ngày tao dã dô mặt mày như dzầy
Surprise,canh thời gian đăng đúng vãi !,canh thời gian đăng đúng vãi
Disgust,quan trọng mấy thằng đó có chọn mj không . ngồi đó mà ảo tưởng,quan trọng mấy thằng đó có chọn mj không ngồi đó mà ảo tưởng
Sadness,học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người,học xong 12 như hết thanh xuân có lẽ phải bỏ lỡ 1 người
Sadness,mình thi xong còn không khóc được 😢,mình thi xong còn không khóc được 😢
Enjoyment,"mỗi ngày mình ôm nhau 1 cái như này hén , hí hí",mỗi ngày mình ôm nhau 1 cái như này hén hí hí
Sadness,"per trừ điểm , trừ điểm",per trừ điểm trừ điểm
Disgust,"5 triệu , phạt một con mụ lừa đảo , phá hủy niềm tin phật giáo , làm ô uế đời sống tâm linh ... thật rẻ rúng làm sao !",5 triệu phạt một con mụ lừa đảo phá hủy niềm tin phật giáo làm ô uế đời sống tâm linh thật rẻ rúng làm sao
Sadness,cả tuần không được nói chuyện,cả tuần không được nói chuyện
Anger,per mày cẩn thận tao giết,per mày cẩn thận tao giết
Disgust,cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑😑😑,cạn lời với bọn súc vật này làm xấu mặt người bắc giang 😑
Other,bài này tao có 2 cảm xúc . đầu tiên về quán trà . đến cảm xúc quen lại c thy xong bị mẹ cấm :)),bài này tao có 2 cảm xúc đầu tiên về quán trà đến cảm xúc quen lại c thy xong bị mẹ cấm
Enjoyment,đẹp trai quá,đẹp trai quá
Anger,đóng cái lồn tao nè chứ đóng,đóng cái lồn tao nè chứ đóng
Sadness,"khổ thân người dân , trước dự án cao su là dự án cà phê , làm thêm dự án nữa coi như một đời bỏ phí",khổ thân người dân trước dự án cao su là dự án cà phê làm thêm dự án nữa coi như một đời bỏ phí
Sadness,"hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó . từ ngày đó nó đeo mày như chó mèo vậy . nhưng khi lớn nó lại mắc bệnh mà mất . giờ cũng hơn 4 , 5 năm rồi những nhớ nó lắm 😓",hồi nhỏ bà mày có cho một con ngỗng mình tự tay nuôi nó từ ngày đó nó đeo mày như chó mèo vậy nhưng khi lớn nó lại mắc bệnh mà mất giờ cũng hơn 4 5 năm rồi những nhớ nó lắm 😓
Enjoyment,hồi nhỏ đọc tao đã nghi nghi rồi =)))))))),hồi nhỏ đọc tao đã nghi nghi rồi
Disgust,ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi .,ngẫm nghĩ cha của thánh gióng với sọ dừa ăn mặn vãi
Disgust,"con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi , cuộc sống lạ lùng vãi 😕",con cần bảo vệ thì giết sạch còn con cần tiêu diệt thì lại đem nuôi cuộc sống lạ lùng vãi 😕
Enjoyment,dù sao thì con trai vẫn nên là người mở lời trước à 🤣🤣🤣🤣🤣🤣,dù sao thì con trai vẫn nên là người mở lời trước à 🤣
Sadness,ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧.. ốm cũng cam lòng chứ vã lắm rồi 🥵🥵,ad cho hỏi nghệ an lúc nào mưa vậy ah 🌧🌧 ốm cũng cam lòng chứ vã lắm rồi 🥵🥵
Sadness,giận ngược lại rồi giận luôn chứ có huề đéo đâu :(((,giận ngược lại rồi giận luôn chứ có huề đéo đâu
Enjoyment,per tao được làm fan cứng giống mày rồi 🤣,per tao được làm fan cứng giống mày rồi 🤣
Surprise,xem cái này mới biết vốn tiếng anh của mình cũng khá !,xem cái này mới bt vốn tiếng anh của mình cũng khá
Disgust,thằng lol này tao đéo biết nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa,thằng lol này tao đéo bt nó sống tốt với mọi người xung quanh như thế nào nào nhưng nó đã ngu còn tỏ ra ngu hẳn nữa
Enjoyment,ôi bé xinh gái vãi :)),ôi bé xinh gái vãi
Enjoyment,cười sái mẹ quai hàm,cười sái mẹ quai hàm
Sadness,rồi khi mày có 1 ít tiền :)) mày mới phát hiện ra còn đéo cả có người đi cùng cơ,rồi khi mày có 1 ít tiền mày mới phát hiện ra còn đéo cả có người đi cùng cơ
Sadness,tự dưng cay mẹ mắt,tự dưng cay mẹ mắt
Fear,tao sợ thật sự :(((,tao sợ thật sự
Enjoyment,per thịt nướng lò xô ne ăn z mà không chết 😎😎😎😎,per thịt nướng lò xô ne ăn vậy mà không chết 😎
Enjoyment,tốt quá,tốt quá
Enjoyment,ông nào viết vui tính thế =)) cưng thật,ông nào viết vui tính thế cưng thật
Surprise,không hiểu sao nhìu người lại thả haha nhỉ ??,không hiểu sao nhìu người lại thả haha nhỉ
Disgust,diễn viên già vãi -.-,diễn viên già vãi
Enjoyment,ghét nhất mấy loại bép xép thế thôi . nhanh gọn lẹ 😂😂😂,ghét nhất mấy loại bép xép thế thôi nhanh gọn lẹ 😂
Enjoyment,cưng quá đi,cưng quá đi
Surprise,nhìn mẫu này lạ mắt mà đẹp quá,nhìn mẫu này lạ mắt mà đẹp quá
Sadness,tao cay mẹ khoé mắt,tao cay mẹ khoé mắt
Disgust,thấy mệt thêm chứ chẳng khỏe gì cả .,thấy mệt thêm chứ chẳng khỏe gì cả
Enjoyment,":)) đang ăn mỳ , không có trứng nhạt lắm , có rụnng thì xin vài quả !",đang ăn mỳ không có trứng nhạt lắm có rụnng thì xin vài quả
Enjoyment,"cảm ơn nói chuyện nhật ! 1 nền khoa học , giáo dục , trí tuệ văn minh !! 😘",cảm ơn nói chuyện nhật 1 nền khoa học giáo dục trí tuệ văn minh 😘
Disgust,tao mệt chúng mày quá,tao mệt chúng mày quá
Enjoyment,hahaha lúc trước ca làm có 4 chị em vui biết bao :)),hahaha lúc trước ca làm có 4 chị em vui bt bao
Disgust,đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄,đụ thế kia thì có khác nào mua cái bánh mà bị đứa bán hàng nó tạt cho gáo nước lạnh đâu 🙄
Other,các bạn đang bảo con này ah 😂😂😂,các bạn đang bảo con này ah 😂
Enjoyment,má chủ dễ thương vậy tao cũng muốn xin,má chủ dễ thương vậy tao cũng muốn xin
Enjoyment,"kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí "" tro "" vào lần sau không phải nấu 😊",kinh nghiệm được truyền lại là khi nào nấu xong bỏ tí tro vào lần sau không phải nấu 😊
Sadness,"có những con người luôn phải chịu đắng cay , cta không được chọn gia đình , bạn bè và càng không có quyền lựa chọn cuộc sống này . hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng",có những con người luôn phải chịu đắng cay cta không được chọn gia đình bạn bè và càng không có quyền lựa chọn cuộc sống này hãy vui lên với tất cả những gì ta đang có dù là hai bàn tay trắng
Anger,địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người . xem mà điên đéo chịu được,địt mẹ không có cái loại nào nó ác man và tàn độc hơn là cái loại người xem mà điên đéo chịu được
Enjoyment,nhìn thương quá ... lao động nghiêm túc,nhìn thương quá lao động nghiêm túc
Sadness,đm thực tế như này còn hay . tiếc là đéo ở gần mình =)),địt mẹ thực tế như này còn hay tiếc là đéo ở gần mình
Other,per mấy trụ kia em không tag được,per mấy trụ kia em không tag được
Anger,nhận nhầm con cặc . phải nói là 10 thằng thì 1 thằng nuôi con thằng khác,nhận nhầm con cặc phải nói là 10 thằng thì 1 thằng nuôi con thằng khác
Surprise,per ơ ơ ơ đây là đâu vậy,per ơ ơ ơ đây là đâu vậy
Anger,gặm gặm cái đéo ý à ... bố gặm luôn mày giờ ...!!!,gặm gặm cái đéo ý à bố gặm luôn mày giờ
Disgust,"thằng nào nói câu : thế thì đừng làm nghề này . v nếu không có người làm nghề này thì ks sẽ mở cửa cho chúng mày vô àk , người có ăn học có ý thức sẽ không nói ra câu đó .",thằng nào nói câu thế thì đừng làm nghề này vậy nếu không có người làm nghề này thì không sao sẽ mở cửa cho chúng mày vô àk người có ăn học có ý thức sẽ không nói ra câu đó
Disgust,k phải là trời không cho mày yêu . vì m quá ngulon,không phải là trời không cho mày yêu vì mày quá ngulon
Fear,"per tặng quà cáp gì tặng hộp nhỏ thôi nha . đi hát hò gì đừng đem thùng quà to như vậy nha , nó biết nó nhổ trụi lông nó ngắt mép chết đó :((",per tặng quà cáp gì tặng hộp nhỏ thôi nha đi hát hò gì đừng đem thùng quà to như vậy nha nó bt nó nhổ trụi lông nó ngắt mép chết đó
Sadness,hết tiền rồi này,hết tiền rồi này
Enjoyment,"đẹp , dẽ thương mà",đẹp dẽ thương mà
Anger,tử hình con mẹ nó lũ chó má không có tính người đi . khổ thân lũ trẻ,tử hình con mẹ nó lũ chó má không có tính người đi khổ thân lũ trẻ
Enjoyment,phim xem hay ... nhẹ nhàng tình cảm ... và cười vkl,phim xem hay nhẹ nhàng tình cảm và cười vãi cả lồn
Sadness,thế làm sao dỗ bạn gái đang giận :(,thế làm sao dỗ bạn gái đang giận
Anger,t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),tao nói thật tao hiền lắm chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi
Fear,loài này bé như ngón tay phàm ăn lắm sợ luôn,loài này bé như ngón tay phàm ăn lắm sợ luôn
Disgust,"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",phí dịch vụ cao nhất chuyển tiền nội mạng trừ phí tởm nhất thái độ làm việc bố láo nhất ít ưu đãi nhất
Disgust,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười,dume trailer kinh dị cho lắm vô rạp gặp toàn bọn xàm ngồi cười
Sadness,chẳng đủ dịu dàng để níu bước chân anh,chẳng đủ dịu dàng để níu bước chân anh
Other,1 cái xe cup này ngày xưa bằng mấy cái nhà liền,1 cái xe cup này ngày xưa bằng mấy cái nhà liền
Enjoyment,mỗi phút bên em thật tuyệt vời . chỉ em mới cho anh cái cảm giác đó,mỗi phút bên em thật tuyệt vời chỉ em mới cho anh cái cảm giác đó
Sadness,em chưa có người yêu . có ai yêu em không . em cô đơn quá,em chưa có người yêu có ai yêu em không em cô đơn quá
Enjoyment,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊
Enjoyment,per =)))))) hít đi cho no chứ mắc công lại chửi tao không biết điều giở trò trước mặt cẩu fa như mày :),per hít đi cho no chứ mắc công lại chửi tao không bt điều giở trò trước mặt cẩu độc thân như mày
Other,bả đòi cái gì vậy ?,bả đòi cái gì vậy
Sadness,"cái thứ ba , trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa",cái thứ ba trời nhìn mà rơi nước mắt thay cho luôn công cả một mùa mà đi tong chỉ vì một trận mưa
Surprise,per biết không :))),per bt không
Sadness,dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời .,dù có sống được mấy đời thì cũng nợ mẹ cha trọn cả mấy đời
Disgust,mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự .. bố tổ sư,mấy cái tin này thường làm tan nát tình cảm gia đình trong lúc ăn cơm xem thời sự bố tổ sư
Disgust,cô tiên béo quá .. 😅😅 giọng còn the thé nữa .. 😅😅,cô tiên béo quá 😅😅 giọng còn the thé nữa 😅😅
Disgust,lên án nhiều rồi mà vẫn thế .,lên án nhiều rồi mà vẫn thế
Disgust,thằng này ngu vãi,thằng này ngu vãi
Surprise,cây tre có tận trăm đốt luôn hả ???,cây tre có tận trăm đốt luôn hả
Sadness,nói tiếng tuy hoà phú yên làm tao nhớ đến nyc . giọng nó sao ngọt không thể tả . buồn,nói tiếng tuy hoà phú yên làm tao nhớ đến nyc giọng nó sao ngọt không thể tả buồn
Disgust,"per mợ mệt , trưa nào cũng nhìn mày nhai chóp chép ..",per mợ mệt trưa nào cũng nhìn mày nhai chóp chép
Fear,"đừng nên thích mấy ông anh cơ bắp , sợ lắm 😆",đừng nên thích mấy ông anh cơ bắp sợ lắm 😆
Enjoyment,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không ?? 😀,có ai vừa coi mà thấy phê phê cái lỗ tai giống tôi không 😀
Disgust,tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣🤣🤣,tao đéo hiểu sao người yêu tao đi cắt tóc về trông mặt ngáo đến kì lạ 🤣
Sadness,và khi quay lại nói chuyện với nhau .... biết nói gì giờ huhu,và khi quay lại nói chuyện với nhau bt nói gì giờ huhu
Disgust,thằng cha bảo vệ có tâm quá . nge con nhỏ kêu nguyên đêm zi mà đéo cứu,thằng cha bảo vệ có tâm quá nge con nhỏ kêu nguyên đêm zi mà đéo cứu
Disgust,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz
Disgust,tao thấy giống khùng với lại vô duyên chứ hay gì,tao thấy giống khùng với lại vô duyên chứ hay gì
Enjoyment,cần gì những thứ xa hoa lộng lẫy đâu . dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊😊😊,cần gì những thứ xa hoa lộng lẫy đâu dù chỉ 1 bông hoa nhưng đong đầy yêu thương nhắn tin đã cảm thấy đủ hạnh phúc rồi 😊
Fear,t gặp ngỗng chạy bỏ dép,tao gặp ngỗng chạy bỏ dép
Disgust,"vừa ngu vừa ngông thì thế , làm trễ tàu của người ta",vừa ngu vừa ngông thì thế làm trễ tàu của người ta
Surprise,sao nó trèo lên được hay vậy @@,sao nó trèo lên được hay vậy
Enjoyment,"khuôn mặt ngây thơ vô số tội , trái tim nhỏ bé của tao sao chịu được ❤❤❤",khuôn mặt ngây thơ vô số tội trái tim nhỏ bé của tao sao chịu được ❤
Sadness,cuộc sống mà đành chịu thôi =(((,cuộc sống mà đành chịu thôi
Sadness,"cấp 3 , đáng tiếc nhất trong thời học sinh ^^",cấp 3 đáng tiếc nhất trong thời học sinh
Other,"per mình đang nói phần lớn thôi , chứ tất nhiên cũng có ngoại lệ mà",per mình đang nói phần lớn thôi chứ tất nhiên cũng có ngoại lệ mà
Enjoyment,"thích chị này nhất phim í , bé bé xinh xinh lại diễn rất đạt :3 . hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa < 3",thích chị này nhất phim í bé bé xinh xinh lại diễn rất đạt 3 hy vọng mai sau sẽ có bước tiến lớn và thành công hơn nữa 3
Disgust,dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ( ý kiến cá nhân ) 😔,dạo này xem video của per chán ấy không như xưa tại giờ toàn quảng cáo ấy ý kiến cá nhân 😔
Other,t thấy chả có gì thú vị .,tao thấy chả có gì thú vị
Surprise,vậy mà củng chẳng hút được khách !,vậy mà củng chẳng hút được khách
Enjoyment,khi nào lên chùa ba vàng giải được vong thì kết hôn :)),khi nào lên chùa ba vàng giải được vong thì kết hôn
Disgust,thuở thiếu thời ai chẳn có phút bốc đồng . nên cho nó một trận để răng đe .. 🤣,thuở thiếu thời ai chẳn có phút bốc đồng nên cho nó một trận để răng đe 🤣
Enjoyment,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon,chắc phải 6 năm chưa nấu kiểu này rồi trước nấu hôm đầu cơm dẻo ai cũng khen ngon
Disgust,cận cảnh cái bụng nước lèo của boss =))) xài hao vãi,cận cảnh cái bụng nước lèo của boss xài hao vãi
Other,bản chất tham lam của con người thể hiện ngay từ những việc nhỏ ..,bản chất tham lam của con người thể hiện ngay từ những việc nhỏ
Sadness,em đi bộ chết mẹ đây này,em đi bộ chết mẹ đây này
Enjoyment,"thật tốt vì chú chó ấy đã tìm được người yêu thương nó , kiên trì để nó tin tưởng thật sự :"">",thật tốt vì chú chó ấy đã tìm được người yêu thương nó kiên trì để nó tin tưởng thật sự
Disgust,"phim này xem nam chính thôi . nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm . giận không ra giận , vui không ra vui .",phim này xem nam chính thôi nữ chính diễn chán vãi lúa lắm lúc tụt hứng lắm giận không ra giận vui không ra vui
Disgust,nhìn mặt nó khó ưa thật chứ,nhìn mặt nó khó ưa thật chứ
Other,lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah :-),lần sau thì mình sẽ như thế để đỡ phải cãi nhau nhiều ah
Other,giờ lên phường người ta có phát chú rể không nhỉ các bạn ?,giờ lên phường người ta có phát chú rể không nhỉ các bạn
Disgust,một cái ngu thật sứng đáng,một cái ngu thật sứng đáng
Enjoyment,năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa ... vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂...# mun 😘,năm nay tao không còn cảm thấy cô đơn và mỏi chân nữa vì tao được ngồi mát và ăn ké socola of bọn có người yêu 😁😂 mun 😘
Other,hãy dùng một đời để minh chứng nhé !💕😍,hãy dùng một đời để minh chứng nhé 💕😍
Disgust,con mụ đen sai còn già mồm ...,con mụ đen sai còn già mồm
Enjoyment,chỉ cần yên bình như thế này thôi . ❤️❤️❤️,chỉ cần yên bình như thế này thôi ❤️❤️❤️
Sadness,năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc,năm nay được nhận hoa và được ngồi nhìn người ta hạnh phúc
Fear,chỉ sợ lúc nó dí,chỉ sợ lúc nó dí
Enjoyment,hên là chay ra kip,hên là chay ra kip
Anger,immm,im
Sadness,tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁🙁🙁,tao cũng có 1 người bà như trong video nhưng bà ấy qua đời rồi 🙁
Enjoyment,đa ́ người yêuc quá ́,đa ́ người yêuc quá ́
Disgust,"5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi , chứ phạt g đâu , xếp lớn của bà và xếp lớn của công an phường là 1 , ai lại đi đá gà nhà ...",5tr là tiền bà yến cúng vong cho công an phường quang trung để giải oan gia trái chủ của bà tiền kiếp thôi chứ phạt g đâu xếp lớn của bà và xếp lớn của công an phường là 1 ai lại đi đá gà nhà
Fear,kinh dị v,kinh dị vậy
Enjoyment,thật may em đã gặp được người tài xế tốt 🌸🌸,thật may em đã gặp được người tài xế tốt 🌸🌸
Surprise,bắn không trượt phát nào luôn à,bắn không trượt phát nào luôn à
Surprise,tại sao mày nằm viện mà vẫn xinh thế ??,tại sao mày nằm viện mà vẫn xinh thế
Surprise,đẹp trai mà bị đá à,đẹp trai mà bị đá à
Sadness,cho con được thay ông bán vé đi 😔,cho con được thay ông bán vé đi 😔
Disgust,lớp xuất hiện thứ âm binh,lớp xuất hiện thứ âm binh
Enjoyment,đọc bình luận cười ẻ,đọc bình luận cười ẻ
Enjoyment,per cách này coi bộ hay nha 😂,per cách này coi bộ hay nha 😂
Enjoyment,"mặt đúng kiểu , em hiểu cảm giác phê của anh không kkk",mặt đúng kiểu em hiểu cảm giác phê của anh không không
Disgust,per thanh niên suốt ngày hát karaoke max volum,per thanh niên suốt ngày hát karaoke max volum
Disgust,lỡ câu chuyện là thật thì sao . chưa gì lên chửi người ta là rẻ rách,lỡ câu chuyện là thật thì sao chưa gì lên chửi người ta là rẻ rách
Anger,bố mày ngứa mắt lắm rồi đấy,bố mày ngứa mắt lắm rồi đấy
Anger,thề địt mẹ ngay đoạn hay cái lên nhạc + cast muốn đập điện thoại vãi :),thề địt mẹ ngay đoạn hay cái lên nhạc cast muốn đập điện thoại vãi
Anger,cả đám súc vật này,cả đám súc vật này
Disgust,bố mấy thằng bệnh,bố mấy thằng bệnh
Sadness,thật khó để có cả 2 khi chúng ta còn trẻ :),thật khó để có cả 2 khi chúng ta còn trẻ
Disgust,nếu cảm thấy không làm được thì nghỉ làm đi . đã xin đi làm thuê thì phải chấp nhận thôi . kêu than cái gì,nếu cảm thấy không làm được thì nghỉ làm đi đã xin đi làm thuê thì phải chấp nhận thôi kêu than cái gì
Enjoyment,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào,may mình đi làm rồi chứ 10 năm trước chắc sẽ phát khổ với bố mẹ vì mấy tin con nhà người ta như thế nào
